what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246467759728
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467761116
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467766036
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467766941
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467773705
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246467776283
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467776622
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467786873
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467804759
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467826051
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1246467829225
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246467831758
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246467831931
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246467836836
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467837480
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467844921
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467846384
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467858742
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467861583
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467874447
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246467878603
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467879229
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467896336
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246467901110
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467901730
