what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467993093
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468047183
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468053673
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468083640
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1246468088367
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246468089022
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468090598
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468168073
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1246468170631
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1246468170974
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246468172113
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468172675
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468197136
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1246468200380
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1246468200739
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246468201332
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468201769
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468260253
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246468261189
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246468261486
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469170242
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469206262
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469277820
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.saveAll,1246469280768
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246469282531
