what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246461152145
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246461152161
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1246461153721
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246461165015
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246461165171
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1246461168993
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246461169243
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246461169555
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461378439
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461586746
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461596028
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461609241
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461611503
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461614950
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246461619084
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461619459
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461688177
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461699721
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461722376
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461732032
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461797881
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461801313
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461802530
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246461805884
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246461806586
