what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245939338512
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245939344844
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245939347842
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1245939355446
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1245939358011
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245939358987
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245939375766
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1245939378903
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245939382106
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245939519717
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245939520968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940414728
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940418054
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940420281
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1245940433007
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940435877
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940447085
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940451017
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940485555
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940493836
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940502851
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940504851
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245940517250
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1245940522123
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1245940525579
