what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1246305460877
opened,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.BreakpointView,1246305461274
activated,perspective,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.JavaPerspective,1246305465658
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1246305504963
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1246305528491
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246305531647
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246305769335
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246305876567
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246305876758
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246305876861
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246305877730
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246305879344
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1246305879428
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1246305879449
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1246305879476
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1246305879494
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246305879850
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1246305880461
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1246305880483
