what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1245794861771
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.redo,1245794862778
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1245794870556
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1245794891068
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794894633
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794894821
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794900377
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794903696
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794904724
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794907620
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1245794908973
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794911238
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794912152
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794913309
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794914415
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1245794933490
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794939290
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794942154
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794942777
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794943485
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794944035
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794944610
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794945132
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794946070
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245794947416
