what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1245797604901
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.wordPrevious,1245797610160
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.saveAll,1245797616367
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245797619277
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245797620819
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1245797647651
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245797647659
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245797655874
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1245797674750
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1245797683989
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1245797685964
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245797741418
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245797744181
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1245797744918
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245797744926
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245797829175
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1245797940577
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1245798017583
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1245798096291
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1245798097826
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.saveAll,1245798123382
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1245798127116
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1245798131761
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245798131769
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1245798141436
