what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056568276
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056581412
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246056582220
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.textStart,1246056586488
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056588139
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1246056588173
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056594334
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1246056596303
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056597584
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056598037
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1246056603665
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246056610621
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1246056612350
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1246056613399
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1246056615185
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056618049
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1246056618085
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056623187
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1246056635133
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1246056636072
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1246056650930
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246056654597
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056659017
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.findReplace,1246056659052
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246056665105
