what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246466841201
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246466886737
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467010227
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467235481
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467237696
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467246541
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467284215
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467384742
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467386926
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467402760
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467407409
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467517639
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467529261
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467561929
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineEnd,1246467565439
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246467567607
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467568933
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467583191
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246467589806
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467590523
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467729707
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467741625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467976729
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467980364
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246467983437
