what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246469136100
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469137782
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469148655
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469150007
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469305283
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469305828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469306861
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469307856
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469447126
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.saveAll,1246469450164
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1246469452538
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246469454235
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246469454393
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246469484891
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246469484891
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469489265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469572779
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469580641
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469582046
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246469585409
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1246469590987
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246469597532
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469603065
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469604086
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246469604568
